Date,ATC Coin,Aidos Kuneen,Ark,BitBay,BitConnect,BitShares,Bitcoin,Bitcoin Cash,BitcoinDark,Bitdeal,BlackCoin,Blocknet,Burst,Byteball Bytes,Bytecoin,Clams,CloakCoin,Compcoin,Counterparty,Crown,DECENT,Dash,Decred,Diamond,DigiByte,DigitalNote,Dogecoin,E-coin,Einsteinium,Elastic,Emercoin,Energycoin,Ethereum,Ethereum Classic,Expanse,Factom,FairCoin,FirstCoin,GXShares,Gambit,GameCredits,Golos,GridCoin,Groestlcoin,Gulden,Hshare,I-O Coin,ION,IOTA,Komodo,LBRY Credits,LEOcoin,Lisk,Litecoin,Lykke,Metaverse ETP,MonaCoin,Monero,MonetaryUnit,Mooncoin,NAV Coin,NEM,NEO,Namecoin,Neblio,Nexus,NoLimitCoin,Nxt,OKCash,Omni,PIVX,Particl,Peercoin,PotCoin,Radium,ReddCoin,Ripple,Rise,Rubycoin,SIBCoin,SaluS,Shift,Siacoin,Skycoin,SpreadCoin,Sprouts,Steem,Stellar Lumens,Stratis,Syscoin,The ChampCoin,Ubiq,Unobtanium,Verge,Vertcoin,Viacoin,Waves,ZCoin,Zcash,ZenCash
2013-06-07,,,,,,,118.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.78,,,,,,,,,,0.67218,,,,,,,,,0.130867,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-08,,,,,,,111.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,,,,,,,,,,0.62826,,,,,,,,,0.11766,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-09,,,,,,,107.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.55,,,,,,,,,,0.612829,,,,,,,,,0.117603,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-10,,,,,,,100.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.38,,,,,,,,,,0.575506,,,,,,,,,0.120525,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-11,,,,,,,106.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.49,,,,,,,,,,0.59556,,,,,,,,,0.119112,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-12,,,,,,,109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.41,,,,,,,,,,0.54827,,,,,,,,,0.11881,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-13,,,,,,,108.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,,,,,,,,,,0.553669,,,,,,,,,0.119654,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-14,,,,,,,103.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.27,,,,,,,,,,0.50935,,,,,,,,,0.119541,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-15,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.14,,,,,,,,,,0.467,,,,,,,,,0.108,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-16,,,,,,,99.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.09,,,,,,,,,,0.402194,,,,,,,,,0.10978,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-17,,,,,,,99.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.14,,,,,,,,,,0.396603,,,,,,,,,0.110889,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-18,,,,,,,101.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.28,,,,,,,,,,0.396585,,,,,,,,,0.115203,,,,,,,,,,,,,,,,,,,,,,,,,,,
